package,downloads,stars,gallery,description,CRAN
ggsmc,6128,NA,NA,Visualising Output from Sequential Monte Carlo Samplers and Ensemble-Based Methods,TRUE
ggtricks,6055,NA,NA,Create Sector and Other Charts Easily Using Grammar of Graphics,TRUE
ggbrace,5716,NA,NA,Curly Braces for 'ggplot2',TRUE
ggragged,5676,35,TRUE,Ragged Grids for 'ggplot2',TRUE
ggrounded,5504,NA,NA,Rounded Bar Plots,TRUE
flowmapper,5481,NA,NA,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",TRUE
gghdx,5280,NA,NA,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",TRUE
unhcrthemes,5256,NA,NA,UNHCR 'ggplot2' Theme and Colour Palettes,TRUE
ggscidca,5241,NA,NA,Plotting Decision Curve Analysis with Coloured Bars,TRUE
ggreveal,5200,33,TRUE,Reveal a 'ggplot' Incrementally,TRUE
stevethemes,5104,NA,NA,Steve's 'ggplot2' Themes and Related Theme Elements,TRUE
gggenomes,4997,641,TRUE,A Grammar of Graphics for Comparative Genomics,TRUE
gghist,4984,NA,NA,Plot the Histogram of a Numeric Vector,TRUE
tinythemes,4941,NA,NA,Lightweight Repackaging of 'Themes' for 'ggplot2',TRUE
layer,4874,NA,NA,Tilt your Maps and Turn Them into 'ggplot' Plots,TRUE
RGraphSpace,4747,NA,NA,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,TRUE
gglogger,4535,NA,NA,Track 'ggplot2' Calls,TRUE
ggScatRidges,4531,NA,NA,Scatter Plot Combined with Ridgelines in 'ggplot2',TRUE
ggvolcano,4492,NA,NA,Publication-Ready Volcano Plots,TRUE
tidyEdSurvey,4423,NA,NA,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',TRUE
ggview,4297,NA,NA,'ggplot2' Picture Previewer,TRUE
ipeaplot,4193,NA,NA,Add Ipea Editorial Standards to 'ggplot2' Graphics,TRUE
ggautomap,4091,NA,NA,Create Maps from a Column of Place Names,TRUE
ggaligner,4044,NA,NA,Visualizing Sequence Alignment by Generating Publication-Ready Plots,TRUE
ggRtsy,3953,NA,NA,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',TRUE
ggthemeUL,3721,NA,NA,A 'ggplot' Theme for University of Ljubljana,TRUE
ggpca,3468,2,TRUE,"Publication-Ready PCA, t-SNE, and UMAP Plots",TRUE
ggtibble,3337,NA,NA,Create Tibbles and Lists of 'ggplot' Figures for Reporting,TRUE
ggsem,3186,NA,NA,Interactively Visualize Structural Equation Modeling Diagrams,TRUE
ggbrick,3099,NA,NA,Waffle Style Chart with a Brick Layout in 'ggplot2',TRUE
ggfields,3004,NA,NA,Add Vector Field Layers to Ggplots,TRUE
ggfoundry,2658,17,TRUE,Shape Foundry & Geom for 'ggplot2',TRUE
ggspark,2580,NA,NA,'ggplot2' Functions to Create Tufte Style Sparklines,TRUE
ggfigdone,2536,NA,NA,Manage & Modify 'ggplot' Figures using 'ggfigdone',TRUE
ggmapcn,2050,NA,NA,Customizable China Map Visualizations,TRUE
ggcompare,1921,NA,NA,Mean Comparison in 'ggplot2',TRUE
ggstackplot,1799,NA,NA,Create Overlapping Stacked Plots,TRUE
gg1d,1555,NA,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,TRUE
ggtaxplot,1492,NA,NA,Create Plots to Visualize Taxonomy,TRUE
ggfootball,1347,NA,NA,Plotting Expected Goals (xG) Stats with 'Understat' Data,TRUE
ggbraid,1267,81,TRUE,NA,NA
gg3D,NA,104,TRUE,NA,NA
gganatogram,NA,383,TRUE,NA,NA
ggtech,NA,393,TRUE,NA,NA
ggradar,NA,340,TRUE,NA,NA
ggtree,NA,858,TRUE,NA,NA
ggthemr,NA,898,TRUE,NA,NA
ggpirate,NA,26,TRUE,NA,NA
humapr,NA,9,TRUE,NA,NA
econocharts,NA,252,TRUE,NA,NA
ggchromatic,NA,13,TRUE,NA,NA
ggtranscript,NA,135,TRUE,NA,NA
ggterror,NA,0,TRUE,NA,NA
ggmagnify,NA,278,TRUE,NA,NA
ggoutlierscatterplot,NA,4,TRUE,NA,NA
ggautothemes,NA,2,TRUE,NA,NA
eheat,NA,12,TRUE,NA,NA
=======
# Gallery data generated on: 2025-04-02 11:03:48.116252
# CRAN data generated on: 2025-04-02 11:12:44.077273
package,downloads,stars,gallery,description,CRAN
